                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.321,                0.98119,                 1.7613,                0.82692,                0.87711,                0.90322,                0.58975,                 1.1956,                0.84929,                 1.6817,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.3007,                0.96141,                 1.7425,                0.83932,                0.87486,                0.92279,                0.61637,                 1.1885,                0.76809,                 1.6303,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.2919,                0.93065,                 1.7171,                0.85275,                0.87824,                0.92925,                0.62401,                 1.1617,                0.75958,                 1.6223,               0.000614,               0.000614,               0.000614
                     38,                 1.2809,                0.91713,                 1.7067,                0.85058,                 0.8711,                0.92438,                0.62389,                 1.1476,                 0.7419,                 1.6024,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.2635,                0.92525,                 1.7008,                0.84847,                0.87954,                0.92587,                0.63803,                  1.111,                0.74323,                 1.5839,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.2628,                0.90826,                 1.6987,                 0.8579,                0.87223,                0.93178,                0.63851,                 1.1312,                0.71375,                 1.6009,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.2168,                0.87525,                 1.6751,                 0.8479,                0.89034,                0.93529,                0.64168,                 1.1145,                0.72195,                 1.5854,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1956,                0.81646,                 1.6651,                 0.8605,                0.87622,                0.93581,                0.63715,                 1.1431,                0.74085,                 1.6079,               0.000416,               0.000416,               0.000416
                     43,                  1.174,                0.80057,                 1.6446,                0.85708,                0.88794,                0.93811,                0.64836,                 1.1004,                0.70993,                 1.5919,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.1756,                0.82635,                 1.6587,                0.88024,                0.88392,                 0.9447,                0.65844,                 1.0995,                0.68933,                 1.5797,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.1635,                0.80885,                  1.625,                0.87359,                0.88816,                 0.9436,                 0.6647,                 1.0671,                0.67573,                 1.5474,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.1469,                0.77093,                 1.6249,                0.87481,                0.88651,                0.94592,                0.65908,                 1.0819,                  0.667,                 1.5507,              0.0002576,              0.0002576,              0.0002576
                     47,                  1.128,                0.75975,                 1.6032,                0.88789,                0.88388,                0.94974,                0.66858,                 1.0841,                0.65044,                 1.5497,               0.000218,               0.000218,               0.000218
                     48,                 1.1349,                0.75672,                 1.6112,                0.88291,                0.88696,                0.94952,                0.66553,                  1.085,                0.66935,                 1.5577,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1319,                 0.7574,                  1.615,                0.87316,                0.90023,                 0.9519,                0.67425,                 1.0591,                0.64336,                 1.5448,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1177,                0.72815,                 1.5931,                0.87786,                0.90217,                0.95402,                0.67877,                 1.0483,                 0.6366,                 1.5239,               9.92e-05,               9.92e-05,               9.92e-05
